City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tecoanapa,16.5167,-98.75,28.49,44,99,0.74,MX,1679410736
84,bambous virieux,-20.3428,57.7575,28.14,74,75,2.06,MU,1679410736
85,yar-sale,66.8333,70.8333,-0.35,89,100,10.27,RU,1679410737
86,torbay,47.6666,-52.7314,2.16,71,75,14.92,CA,1679410738
87,qaanaaq,77.484,-69.3632,-13.81,63,0,4.79,GL,1679410738
88,saint-francois,46.4154,3.9054,15.69,51,0,2.06,FR,1679410739
89,mar del plata,-38.0023,-57.5575,23.79,67,96,1.79,AR,1679410739
90,olinda,-8.0089,-34.8553,23.85,88,100,1.03,BR,1679410723
91,coruripe,-10.1256,-36.1756,29.64,60,96,4.24,BR,1679410740
92,hithadhoo,-0.6,73.0833,28.12,74,100,3.65,MV,1679410741
93,roblin,51.23,-101.3565,-15.16,92,85,2.64,CA,1679410742
94,longyearbyen,78.2186,15.6401,-17.09,55,40,3.6,SJ,1679410743
95,saint george,37.1041,-113.5841,6.33,89,100,1.54,US,1679410744
96,abnub,27.2696,31.1511,22.12,25,0,5.51,EG,1679410745
97,iquique,-20.2208,-70.1431,26.02,68,21,2.58,CL,1679410741
98,newport,51.5877,-2.9984,14.08,75,99,8.1,GB,1679410385
99,ostrovnoy,68.0531,39.5131,-7.09,82,33,7.54,RU,1679410747
100,quatre cocos,-20.2078,57.7625,28.06,79,91,2.74,MU,1679410511
101,carnarvon,-24.8667,113.6333,23.96,82,16,8.38,AU,1679410551
102,devils lake,48.1128,-98.8651,-11.14,75,40,4.47,US,1679410621
103,batsfjord,70.6345,29.7185,-4.04,93,100,9.26,NO,1679410753
104,okahandja,-21.9833,16.9167,32.68,16,37,1.65,NA,1679410754
105,norman wells,65.282,-126.8329,-9.98,73,20,4.63,CA,1679410755
106,tallahassee,30.4383,-84.2807,15.18,58,0,3.6,US,1679410581
107,asekeyevo,53.5742,52.7972,-2.57,97,74,2.22,RU,1679410756
108,severodvinsk,64.5635,39.8302,-1.94,87,100,0.8,RU,1679410757
109,ribeira grande,38.5167,-28.7,17.22,88,75,5.14,PT,1679410758
110,usinsk,65.9939,57.5281,-7.34,89,82,3.74,RU,1679410758
111,faanui,-16.4833,-151.75,27.18,78,24,5.65,PF,1679410759
112,lebu,-37.6167,-73.65,16.19,61,29,6.08,CL,1679410095
113,camacha,33.0833,-16.3333,17.68,63,20,6.17,PT,1679410760
114,mopipi,-21.1833,24.8833,32.8,15,25,3.96,BW,1679410761
115,hovd,48.0056,91.6419,-9.82,42,1,1.17,MN,1679410762
116,arraial do cabo,-22.9661,-42.0278,30.98,70,0,4.63,BR,1679410501
117,tabuk,17.4189,121.4443,22.64,86,55,1.17,PH,1679410765
118,port-gentil,-0.7193,8.7815,24.98,94,75,6.17,GA,1679410766
119,palmer,42.1584,-72.3287,10.69,39,32,1.34,US,1679410729
120,derzhavinsk,51.1,66.3167,-9.8,89,29,1.96,KZ,1679410768
121,adrar,20.5022,-10.0711,32.17,8,0,3.0,MR,1679410769
122,luderitz,-26.6481,15.1594,22.43,56,0,9.37,NA,1679410770
123,chokurdakh,70.6333,147.9167,-25.67,95,100,8.51,RU,1679410771
124,gisborne,-38.6533,178.0042,13.29,86,81,3.53,NZ,1679410772
125,kruisfontein,-34.0033,24.7314,23.27,53,0,8.58,ZA,1679410773
126,carepa,7.7585,-76.6525,27.88,78,40,3.6,CO,1679410774
127,antanifotsy,-19.65,47.3167,16.33,99,100,1.96,MG,1679410775
128,inhambane,-23.865,35.3833,25.81,73,37,3.64,MZ,1679410776
129,urbano santos,-3.2078,-43.4036,25.88,86,94,1.22,BR,1679410778
130,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1679410304
131,benavente,42.0025,-5.6783,18.14,28,2,0.45,ES,1679410779
132,filimonovo,56.2011,95.4611,-15.41,86,27,1.78,RU,1679410779
133,chuy,-33.6971,-53.4616,22.75,49,95,4.68,UY,1679410780
134,nalut,30.3333,10.85,26.07,25,94,6.15,LY,1679410781
135,upernavik,72.7868,-56.1549,-25.35,93,85,0.99,GL,1679410782
136,port macquarie,-31.4333,152.9167,18.83,83,100,1.9,AU,1679410782
137,salvador,13.8333,-88.9167,26.14,52,5,1.88,SV,1679410565
138,selaphum,16.0299,103.9383,28.95,34,0,3.84,TH,1679410784
139,namatanai,-3.6667,152.4333,25.52,75,5,1.91,PG,1679410784
140,saint-philippe,-21.3585,55.7679,26.77,84,60,3.29,RE,1679410785
141,natal,-5.795,-35.2094,31.36,70,75,3.6,BR,1679410786
142,bilibino,68.0546,166.4372,-28.49,100,100,2.28,RU,1679410786
143,lagos,6.5833,3.75,33.18,52,97,4.44,NG,1679410307
144,san joaquin,37.9333,-121.3011,9.54,88,100,1.54,US,1679410788
145,aswan,24.0934,32.907,25.61,23,0,2.57,EG,1679410789
146,kiunga,-6.1219,141.2906,22.72,99,89,0.84,PG,1679410789
147,batagay-alyta,67.8006,130.4114,-32.72,97,97,2.83,RU,1679410790
148,hamilton,39.1834,-84.5333,9.44,43,75,4.12,US,1679410680
149,chapais,49.7834,-74.8492,-15.12,80,83,3.07,CA,1679410790
150,tuktoyaktuk,69.4541,-133.0374,-10.0,85,75,4.63,CA,1679410791
